Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
,13/04/2021,Payment,,Website Sale,,Barter Account,-4.62,"848,970.57"
,13/04/2021,Payment,,Website Sale,,NatWest ****7810,-204.52,"848,766.05"
,13/04/2021,Payment,,L&O Group SA,,Commerzbank,"-4,017.00","844,749.05"
,13/04/2021,Payment,,Website Sale,,Barter Account,-6.31,"844,742.74"
,14/04/2021,Invoice,12302,Website Sale,,Sales of Product Income:Non UK Sales,155.83,"844,898.57"
,14/04/2021,Payment,,Website Sale,,NatWest ****7810,-241.58,"844,656.99"
,14/04/2021,Invoice,12299,SHOP SALE,,-Split-,219,"844,875.99"
,14/04/2021,Invoice,12304,Website Sale,,-Split-,211,"845,086.99"
,14/04/2021,Invoice,12303,Website Sale,,Sales of Product Income:Non UK Sales,249,"845,335.99"
,14/04/2021,Invoice,12301,Website Sale,,Sales of Product Income:Non UK Sales,80,"845,415.99"
,14/04/2021,Payment,,Website Sale,,Barter Account,-7.42,"845,408.57"
,14/04/2021,Payment,,Website Sale,,Barter Account,-2.52,"845,406.05"
,14/04/2021,Payment,,Website Sale,,Barter Account,-3.15,"845,402.90"
,14/04/2021,Payment,,Website Sale,,NatWest ****7810,-77.48,"845,325.42"
,14/04/2021,Payment,,The Traditional English cases Ltd,,Commerzbank,-90,"845,235.42"
,14/04/2021,Payment,,Website Sale,,NatWest ****7810,-207.85,"845,027.57"
,14/04/2021,Payment,,David Modesett,,Commerzbank,"-38,110.00","806,917.57"
,14/04/2021,Payment,,Website Sale,,Barter Account,-2.38,"806,915.19"
,14/04/2021,Payment,,Website Sale,,NatWest ****7810,-153.45,"806,761.74"
,14/04/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-219,"806,542.74"
,14/04/2021,Payment,,Website Sale,,Barter Account,-1.83,"806,540.91"
,14/04/2021,Payment,,Website Sale,,NatWest ****7810,-114.84,"806,426.07"
,14/04/2021,Invoice,12300,Website Sale,,Sales of Product Income:Non UK Sales,116.67,"806,542.74"
,15/04/2021,Invoice,12306,Gordy & Sons Outfitters,,-Split-,80,"806,622.74"
,15/04/2021,Payment,,Nelson Neto Junior,,Natwest Saver ****7829,-22.4,"806,600.34"
,15/04/2021,Invoice,12305,Nelson Neto Junior,,Sales of Product Income:UK Sales,26.88,"806,627.22"
,16/04/2021,Invoice,12307,Blaser Group Kft,,-Split-,466,"807,093.22"
,16/04/2021,Invoice,12308,Website Sale,,-Split-,92,"807,185.22"
,16/04/2021,Payment,,Website Sale,,Barter Account,-1.49,"807,183.73"
,16/04/2021,Payment,,Viscount John  Massereene & Ferrard,,NatWest ****7810,-450,"806,733.73"
,16/04/2021,Payment,,Website Sale,,NatWest ****7810,-90.51,"806,643.22"
,16/04/2021,Invoice,12309,Simon Raynard,,-Split-,54.24,"806,697.46"
,19/04/2021,Invoice,12310,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"806,993.29"
,19/04/2021,Payment,,Website Sale,,Barter Account,-4.34,"806,988.95"
,19/04/2021,Invoice,12314,SHOP SALE,,Sales of Product Income:Non UK Sales,60,"807,048.95"
,19/04/2021,Invoice,12313,Blaser Group UK,,-Split-,162,"807,210.95"
,19/04/2021,Invoice,12315,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"807,506.78"
,19/04/2021,Invoice,12312,Website Sale,,Sales of Product Income:Non UK Sales,69,"807,575.78"
,19/04/2021,Payment,,Website Sale,,NatWest ****7810,-66.8,"807,508.98"
,19/04/2021,Payment,,Website Sale,,Barter Account,-1.48,"807,507.50"
,19/04/2021,Payment,,JAFI,,Commerzbank,-50,"807,457.50"
,19/04/2021,Payment,,Gut Grambow Fieldsports GmbH,,Commerzbank,-825,"806,632.50"
,19/04/2021,Payment,,Website Sale,,Barter Account,-4.34,"806,628.16"
,19/04/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-60,"806,568.16"
,19/04/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"806,276.67"
,19/04/2021,Payment,,Website Sale,,Barter Account,-2.2,"806,274.47"
,19/04/2021,Payment,,Website Sale,,NatWest ****7810,-90.19,"806,184.28"
,19/04/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"805,892.79"
,19/04/2021,Invoice,12311,Website Sale,,Sales of Product Income:Non UK Sales,91.67,"805,984.46"
,20/04/2021,Invoice,12317,Website Sale,,Sales of Product Income:UK Sales,512,"806,496.46"
,20/04/2021,Invoice,12316,Website Sale,,Sales of Product Income:Non UK Sales,124.17,"806,620.63"
,20/04/2021,Credit Note,CN 11188,Francisco D'Agostino,,Sales of Product Income:Non UK Sales,"-25,510.40","781,110.23"
,20/04/2021,Credit Note,CN 10618,Francisco D'Agostino,,Sales of Product Income:Non UK Sales,"-26,170.40","754,939.83"
,20/04/2021,Payment,,Francisco D'Agostino,,-Split-,,"754,939.83"
,20/04/2021,Payment,,Website Sale,,Barter Account,-7.37,"754,932.46"
,20/04/2021,Payment,,Website Sale,,NatWest ****7810,-122.23,"754,810.23"
,20/04/2021,Payment,,Website Sale,,NatWest ****7810,-504.63,"754,305.60"
,20/04/2021,Payment,,Website Sale,,Barter Account,-1.94,"754,303.66"
,20/04/2021,Payment,,Francisco D'Agostino,,-Split-,0,"754,303.66"
,21/04/2021,Invoice,12318,Website Sale,,Sales of Product Income:UK Sales,32,"754,335.66"
,21/04/2021,Invoice,12323,Giancarlo Lugli,,Orders in Hand/Deferred Income,"1,000.00","755,335.66"
,21/04/2021,Invoice,12321,The Traditional English cases Ltd,,Sales of Product Income:Sales,77.39,"755,413.05"
,21/04/2021,Invoice,12322,Nelson Neto Junior,,Sales of Product Income:UK Sales,16.38,"755,429.43"
,21/04/2021,Invoice,12319,Website Sale,,Sales of Product Income:Non UK Sales,194.17,"755,623.60"
,21/04/2021,Invoice,12320,SHOP SALE,,Sales of Product Income:Non UK Sales,60,"755,683.60"
,21/04/2021,Payment,,Website Sale,,NatWest ****7810,-21.16,"755,662.44"
,21/04/2021,Payment,,Nelson Neto Junior,,Natwest Saver ****7829,-16.38,"755,646.06"
,21/04/2021,Payment,,Website Sale,,Barter Account,-0.84,"755,645.22"
,21/04/2021,Payment,,Website Sale,,NatWest ****7810,-188.34,"755,456.88"
,21/04/2021,Payment,,Website Sale,,Barter Account,-5.83,"755,451.05"
,21/04/2021,Payment,,Website Sale,,Barter Account,-0.65,"755,450.40"
,21/04/2021,Payment,,Website Sale,,NatWest ****7810,-31.35,"755,419.05"
,21/04/2021,Invoice,12324,Website Sale,,Sales of Product Income:UK Sales,22,"755,441.05"
,22/04/2021,Invoice,12333,Nigel Gillman,,Sales of Product Income:Sales,936,"756,377.05"
,22/04/2021,Payment,,Simon Raynard,,Commerzbank,-54.24,"756,322.81"
,22/04/2021,Invoice,12329,Website Sale,,Sales of Product Income:Non UK Sales,245.83,"756,568.64"
,22/04/2021,Invoice,12327,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"756,864.47"
,22/04/2021,Invoice,12328,Website Sale,,Sales of Product Income:Non UK Sales,145,"757,009.47"
,22/04/2021,Invoice,12332,Website Sale,,Sales of Product Income:Non UK Sales,45.83,"757,055.30"
,22/04/2021,Invoice,12331,SHOP SALE,,Sales of Product Income:UK Sales,13.5,"757,068.80"
,22/04/2021,Invoice,12326,Website Sale,,Sales of Product Income:UK Sales,91,"757,159.80"
,22/04/2021,Invoice,12325,Website Sale,,Sales of Product Income:Non UK Sales,650,"757,809.80"
,22/04/2021,Payment,,Website Sale,,Barter Account,-1.47,"757,808.33"
,22/04/2021,Payment,,Website Sale,,Barter Account,-4.02,"757,804.31"
,22/04/2021,Payment,,Website Sale,,Barter Account,-4.41,"757,799.90"
,22/04/2021,Payment,,Website Sale,,Barter Account,-4.34,"757,795.56"
,22/04/2021,Payment,,Website Sale,,Barter Account,-9.3,"757,786.26"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-127.65,"757,658.61"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-89.53,"757,569.08"
,22/04/2021,Payment,,Website Sale,,Barter Account,-0.84,"757,568.24"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-44.99,"757,523.25"
,22/04/2021,Payment,,Website Sale,,Barter Account,-3.64,"757,519.61"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-242.19,"757,277.42"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-140.59,"757,136.83"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-640.7,"756,496.13"
,22/04/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-13.5,"756,482.63"
,22/04/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"756,191.14"
,22/04/2021,Invoice,12330,Website Sale,,Sales of Product Income:Non UK Sales,131.67,"756,322.81"
,23/04/2021,Invoice,12383,The Traditional English cases Ltd,,Sales of Product Income:Sales,214.26,"756,537.07"
,23/04/2021,Invoice,12335,Website Sale,,Sales of Product Income:Non UK Sales,180.83,"756,717.90"
,23/04/2021,Invoice,12336,Website Sale,,Sales of Product Income:Non UK Sales,62.5,"756,780.40"
,23/04/2021,Invoice,12334,Website Sale,,Sales of Product Income:Non UK Sales,131.67,"756,912.07"
,23/04/2021,Payment,,David Auger,,Commerzbank,"-8,800.00","748,112.07"
,23/04/2021,Payment,,Nigel Gillman,,Natwest Saver ****7829,-936,"747,176.07"
,23/04/2021,Payment,,Website Sale,,NatWest ****7810,-61.42,"747,114.65"
,23/04/2021,Payment,,Website Sale,,Barter Account,-1.08,"747,113.57"
,23/04/2021,Payment,,Website Sale,,NatWest ****7810,-127.65,"746,985.92"
,23/04/2021,Payment,,Website Sale,,Barter Account,-5.44,"746,980.48"
,23/04/2021,Payment,,Website Sale,,NatWest ****7810,-175.39,"746,805.09"
,23/04/2021,Payment,,Website Sale,,Barter Account,-4.02,"746,801.07"
,26/04/2021,Invoice,12346,Jens Biskup,,Orders in Hand/Deferred Income,"4,697.50","751,498.57"
,26/04/2021,Payment,,Website Sale,,NatWest ****7810,-229.86,"751,268.71"
,26/04/2021,Invoice,12337,Website Sale,,Sales of Product Income:Non UK Sales,165,"751,433.71"
,26/04/2021,Invoice,12338,Website Sale,,Sales of Product Income:UK Sales,82,"751,515.71"
,26/04/2021,Invoice,12339,Website Sale,,Sales of Product Income:Non UK Sales,233.33,"751,749.04"
,26/04/2021,Invoice,12340,Website Sale,,Sales of Product Income:Non UK Sales,441.67,"752,190.71"
,26/04/2021,Invoice,12341,Mark Renmant,,Sales of Product Income:UK Sales,87.12,"752,277.83"
,26/04/2021,Payment,,Jens Biskup,,Cash in Hand,"-4,697.50","747,580.33"
,26/04/2021,Payment,,Website Sale,,Barter Account,-1.35,"747,578.98"
,26/04/2021,Payment,,Website Sale,,Barter Account,-6.38,"747,572.60"
,26/04/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,"-1,000.00","746,572.60"
,26/04/2021,Payment,,Website Sale,,Barter Account,-3.47,"746,569.13"
,26/04/2021,Payment,,Website Sale,,NatWest ****7810,-162.49,"746,406.64"
,26/04/2021,Payment,,Diggory Haddoke,,Natwest Saver ****7829,-579.6,"745,827.04"
,26/04/2021,Payment,,Website Sale,,Barter Account,-2.51,"745,824.53"
,26/04/2021,Payment,,Website Sale,,NatWest ****7810,-435.29,"745,389.24"
,26/04/2021,Payment,,Website Sale,,NatWest ****7810,-80.65,"745,308.59"
,26/04/2021,Payment,,Mark Renmant,,Natwest Saver ****7829,-87.12,"745,221.47"
,26/04/2021,Invoice,12345,SHOP SALE,,Sales of Product Income:UK Sales,243,"745,464.47"
,27/04/2021,Invoice,12353,SHOP SALE,,Sales of Product Income:UK Sales,"1,000.00","746,464.47"
,27/04/2021,Invoice,12355,"Calabi, Silvio",,Sales of Product Income:Non UK Sales,200,"746,664.47"
,27/04/2021,Invoice,12354,David Auger,,-Split-,380,"747,044.47"
,27/04/2021,Payment,,HH Sheikh Mohammed Al-Sharqi,,Commerzbank,"-99,988.00","647,056.47"
,27/04/2021,Payment,,Dr Eckard Stief,,Barter Account,"-1,050.00","646,006.47"
,27/04/2021,Payment,,Richard Kilby,,Natwest Saver ****7829,-470,"645,536.47"
,27/04/2021,Payment,,HH Sheikh Mohammed Al-Sharqi,,Barter Account,-12,"645,524.47"
,28/04/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-243,"645,281.47"
,29/04/2021,Invoice,12360,Gordy & Sons Outfitters,,-Split-,100,"645,381.47"
,29/04/2021,Invoice,12357,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"645,677.30"
,29/04/2021,Invoice,12367,West London SS,,Sales of Product Income:UK Sales,94.8,"645,772.10"
,29/04/2021,Invoice,12358,Michael Luke,,-Split-,"1,288.00","647,060.10"
,29/04/2021,Invoice,12365,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Sales,"1,785.00","648,845.10"
,29/04/2021,Invoice,12356,Website Sale,,Sales of Product Income:Non UK Sales,310.83,"649,155.93"
,29/04/2021,Credit Note,12361,David Auger,,Sales of Product Income:Non UK Sales,-50,"649,105.93"
,29/04/2021,Invoice,12362,SHOP SALE,,Sales of Product Income:UK Sales,99,"649,204.93"
,29/04/2021,Invoice,12366,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Sales,"1,020.00","650,224.93"
,29/04/2021,Payment,,Website Sale,,Barter Account,-9.21,"650,215.72"
,29/04/2021,Payment,,David Auger,,-Split-,,"650,215.72"
,29/04/2021,Payment,,Website Sale,,Barter Account,-4.34,"650,211.38"
,29/04/2021,Invoice,12359,Blaser Group GMBH,,-Split-,132,"650,343.38"
,30/04/2021,Invoice,12352,Armurerie Richard,,-Split-,"7,934.00","658,277.38"
,30/04/2021,Invoice,12364,Website Sale,,Sales of Product Income:UK Sales,22,"658,299.38"
,30/04/2021,Invoice,12373,Laurens  Sliepenbeek,,Orders in Hand/Deferred Income,"11,056.98","669,356.36"
,30/04/2021,Invoice,12363,HH Sheikh Mohammed Al-Sharqi,,-Split-,"61,980.00","731,336.36"
,30/04/2021,Payment,,Website Sale,,Barter Account,-0.51,"731,335.85"
,30/04/2021,Invoice,12349,Mr R Holden,,-Split-,"81,850.00","813,185.85"
,30/04/2021,Invoice,12351,Armurerie Richard,,-Split-,"5,450.00","818,635.85"
,30/04/2021,Payment,,Waffen Ortner,,Commerzbank,-510,"818,125.85"
,30/04/2021,Payment,,Laurens  Sliepenbeek,,Commerzbank,"-11,056.98","807,068.87"
,30/04/2021,Invoice,12348,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"32,625.00","839,693.87"
,01/05/2021,Payment,,Website Sale,,NatWest ****7810,-301.62,"839,392.25"
,01/05/2021,Payment,,"Calabi, Silvio",,Natwest Saver ****7829,-200,"839,192.25"
,01/05/2021,Payment,,Website Sale,,NatWest ****7810,-21.49,"839,170.76"
,01/05/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"838,879.27"
,04/05/2021,Invoice,12371,Website Sale,,Sales of Product Income:Non UK Sales,131.67,"839,010.94"
,04/05/2021,Payment,,Website Sale,,Barter Account,-3.05,"839,007.89"
,04/05/2021,Payment,,Website Sale,,Barter Account,-61.78,"838,946.11"
,04/05/2021,Payment,,Website Sale,,Barter Account,-4,"838,942.11"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,-127,"838,815.11"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,"-2,061.55","836,753.56"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,-95.28,"836,658.28"
,04/05/2021,Invoice,12369,Website Sale,,Sales of Product Income:Non UK Sales,98.33,"836,756.61"
,04/05/2021,Invoice,12374,Website Sale,,Sales of Product Income:UK Sales,131,"836,887.61"
,04/05/2021,Invoice,12372,Website Sale,,Sales of Product Income:Non UK Sales,340,"837,227.61"
,04/05/2021,Invoice,12368,Website Sale,,Sales of Product Income:UK Sales,241,"837,468.61"
,04/05/2021,Invoice,12370,Website Sale,,Sales of Product Income:Non UK Sales,"2,123.33","839,591.94"
,04/05/2021,Invoice,12375,Blaser Group UK,,Sales of Product Income:Sales,216,"839,807.94"
,04/05/2021,Invoice,12376,Joe Hudson,,-Split-,640,"840,447.94"
,04/05/2021,Payment,,Website Sale,,Barter Account,-4.96,"840,442.98"
,04/05/2021,Payment,,Website Sale,,Barter Account,-3.57,"840,439.41"
,04/05/2021,Payment,,Blaser USA 1,,Barter Account,"-20,929.00","819,510.41"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,-237.43,"819,272.98"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,-127.65,"819,145.33"
,04/05/2021,Payment,,Website Sale,,NatWest ****7810,-335.04,"818,810.29"
,04/05/2021,Payment,,Website Sale,,Barter Account,-4.02,"818,806.27"
,05/05/2021,Invoice,12379,The Traditional English cases Ltd,,Sales of Product Income:UK Sales,288,"819,094.27"
,05/05/2021,Invoice,12380,Website Sale,,Sales of Product Income:Non UK Sales,100,"819,194.27"
,05/05/2021,Invoice,12381,Website Sale,,Sales of Product Income:Non UK Sales,425,"819,619.27"
,05/05/2021,Invoice,12382,Website Sale,,Sales of Product Income:UK Sales,37,"819,656.27"
,05/05/2021,Invoice,12378,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"1,200.00","820,856.27"
,05/05/2021,Invoice,12377,David Auger,,-Split-,130,"820,986.27"
,05/05/2021,Payment,,Website Sale,,Barter Account,-1.6,"820,984.67"
,05/05/2021,Payment,,Website Sale,,Barter Account,-0.72,"820,983.95"
,05/05/2021,Payment,,Website Sale,,NatWest ****7810,-418.85,"820,565.10"
,05/05/2021,Payment,,Website Sale,,NatWest ****7810,-98.4,"820,466.70"
,05/05/2021,Payment,,Website Sale,,NatWest ****7810,-36.28,"820,430.42"
,05/05/2021,Payment,,Nelson Neto Junior,,Natwest Saver ****7829,-19.8,"820,410.62"
,05/05/2021,Payment,,Website Sale,,Barter Account,-6.15,"820,404.47"
,06/05/2021,Invoice,12385,Ross Williamson,,-Split-,85,"820,489.47"
,06/05/2021,Payment,,Ross Williamson,,Natwest Saver ****7829,-85,"820,404.47"
,06/05/2021,Invoice,12384,Nelson Neto Junior,,Sales of Product Income:UK Sales,19.8,"820,424.27"
,06/05/2021,Invoice,12386,Gordy & Sons Outfitters,,-Split-,850,"821,274.27"
,07/05/2021,Payment,,Viscount Jonathan Rothermere,,Commerzbank,"-29,100.00","792,174.27"
,08/05/2021,Invoice,12390,Website Sale,,Sales of Product Income:Non UK Sales,105.83,"792,280.10"
,08/05/2021,Invoice,12391,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"792,575.93"
,08/05/2021,Invoice,12387,Mr Roger Karlsson,,Orders in Hand/Deferred Income,"4,500.00","797,075.93"
,08/05/2021,Invoice,12388,Website Sale,,Sales of Product Income:Non UK Sales,250,"797,325.93"
,08/05/2021,Invoice,12389,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"797,621.76"
,08/05/2021,Payment,,Website Sale,,NatWest ****7810,-102.56,"797,519.20"
,08/05/2021,Payment,,Website Sale,,Barter Account,-4.34,"797,514.86"
,08/05/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"797,223.37"
,08/05/2021,Payment,,Website Sale,,Barter Account,-4.34,"797,219.03"
,08/05/2021,Payment,,Website Sale,,Barter Account,-3.27,"797,215.76"
,08/05/2021,Payment,,Website Sale,,Barter Account,-3.7,"797,212.06"
,08/05/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"796,920.57"
,08/05/2021,Payment,,Website Sale,,NatWest ****7810,-246.3,"796,674.27"
,08/05/2021,Payment,,Mr Roger Karlsson,,Commerzbank,"-4,500.00","792,174.27"
,09/05/2021,Invoice,12392,Website Sale,,Sales of Product Income:Non UK Sales,65,"792,239.27"
,09/05/2021,Payment,,Website Sale,,Barter Account,-2.09,"792,237.18"
,09/05/2021,Payment,,Website Sale,,NatWest ****7810,-62.91,"792,174.27"
,10/05/2021,Invoice,12393,Website Sale,,Sales of Product Income:Non UK Sales,125,"792,299.27"
,10/05/2021,Payment,,Website Sale,,Barter Account,-3.83,"792,295.44"
,10/05/2021,Payment,,Website Sale,,NatWest ****7810,-121.17,"792,174.27"
,10/05/2021,Invoice,12394,Adam Kelliher,,-Split-,326,"792,500.27"
,11/05/2021,Invoice,12399,David Modesett,,Orders in Hand/Deferred Income,"60,000.00","852,500.27"
,11/05/2021,Invoice,12397,Website Sale,,Sales of Product Income:UK Sales,61,"852,561.27"
,11/05/2021,Invoice,12398,Corey Knowlton,,Orders in Hand/Deferred Income,"18,000.00","870,561.27"
,11/05/2021,Invoice,12396,Website Sale,,Sales of Product Income:Non UK Sales,141.67,"870,702.94"
,11/05/2021,Payment,,Website Sale,,Barter Account,-2.18,"870,700.76"
,11/05/2021,Payment,,Adam Kelliher,,Natwest Saver ****7829,-326,"870,374.76"
,11/05/2021,Payment,,Website Sale,,NatWest ****7810,-59.95,"870,314.81"
,11/05/2021,Payment,,Website Sale,,NatWest ****7810,-139.49,"870,175.32"
,11/05/2021,Payment,,Website Sale,,Barter Account,-1.05,"870,174.27"
,12/05/2021,Invoice,12400,Sarfaraz Metlo,,-Split-,"3,650.34","873,824.61"
,12/05/2021,Invoice,12401,Website Sale,,Sales of Product Income:Non UK Sales,212.5,"874,037.11"
,12/05/2021,Payment,,Website Sale,,Barter Account,-3.18,"874,033.93"
,12/05/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-60,"873,973.93"
,12/05/2021,Payment,,Website Sale,,NatWest ****7810,-209.32,"873,764.61"
,13/05/2021,Invoice,12403,Brigitte Steinmaﬂl,,-Split-,195,"873,959.61"
,13/05/2021,Invoice,12402,Website Sale,,Sales of Product Income:Non UK Sales,355,"874,314.61"
,13/05/2021,Payment,,Website Sale,,Barter Account,-5.17,"874,309.44"
,13/05/2021,Payment,,Michael Luke,,Commerzbank,"-1,288.00","873,021.44"
,13/05/2021,Payment,,Website Sale,,NatWest ****7810,-349.83,"872,671.61"
,14/05/2021,Invoice,12405,Website Sale,,Sales of Product Income:Non UK Sales,125,"872,796.61"
,14/05/2021,Invoice,12404,Website Sale,,Sales of Product Income:Non UK Sales,310.83,"873,107.44"
,14/05/2021,Invoice,12406,Website Sale,,Sales of Product Income:Non UK Sales,310.83,"873,418.27"
,14/05/2021,Payment,,Website Sale,,NatWest ****7810,-301.62,"873,116.65"
,14/05/2021,Payment,,Website Sale,,Barter Account,-3.83,"873,112.82"
,14/05/2021,Payment,,Website Sale,,NatWest ****7810,-301.62,"872,811.20"
,14/05/2021,Payment,,Website Sale,,Barter Account,-9.21,"872,801.99"
,14/05/2021,Payment,,Website Sale,,NatWest ****7810,-121.17,"872,680.82"
,14/05/2021,Payment,,Website Sale,,Barter Account,-9.21,"872,671.61"
,16/05/2021,Invoice,12407,Website Sale,,Sales of Product Income:Non UK Sales,650,"873,321.61"
,16/05/2021,Invoice,12408,Website Sale,,Sales of Product Income:Non UK Sales,135.83,"873,457.44"
,16/05/2021,Payment,,David Modesett,,Commerzbank,"-60,000.00","813,457.44"
,16/05/2021,Payment,,Website Sale,,NatWest ****7810,-630.95,"812,826.49"
,16/05/2021,Payment,,Website Sale,,NatWest ****7810,-131.69,"812,694.80"
,16/05/2021,Payment,,Website Sale,,Barter Account,-4.14,"812,690.66"
,16/05/2021,Payment,,Website Sale,,Barter Account,-19.05,"812,671.61"
,18/05/2021,Invoice,12414,Mr Marc Newton,,Sales of Product Income:UK Sales,100.32,"812,771.93"
,18/05/2021,Invoice,12413,Sheikh Khalid Bin Rashid Al-Khalifa,,-Split-,538,"813,309.93"
,18/05/2021,Invoice,12409,Website Sale,,Sales of Product Income:UK Sales,212,"813,521.93"
,18/05/2021,Invoice,12416,Mr Marc Newton,,Sales of Product Income:UK Sales,0,"813,521.93"
,18/05/2021,Invoice,12410,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"813,817.76"
,18/05/2021,Invoice,12417,The Hon Charles Pearson,,Sales of Product Income:Sales,946.38,"814,764.14"
,18/05/2021,Payment,,Website Sale,,NatWest ****7810,-208.83,"814,555.31"
,18/05/2021,Invoice,12412,Morten Kristoffer Kjus,,-Split-,255,"814,810.31"
,18/05/2021,Invoice,12415,Viscount Jonathan Rothermere,,Sales of Product Income:UK Sales,0,"814,810.31"
,18/05/2021,Invoice,12395,Viscount Jonathan Rothermere,,-Split-,"1,100.00","815,910.31"
,18/05/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"815,618.82"
,18/05/2021,Payment,,Website Sale,,Barter Account,-3.17,"815,615.65"
,18/05/2021,Payment,,Website Sale,,Barter Account,-4.34,"815,611.31"
,18/05/2021,Invoice,12411,Blaser Group UK,,-Split-,148.5,"815,759.81"
,19/05/2021,Invoice,12422,Website Sale,,Sales of Product Income:Non UK Sales,114.17,"815,873.98"
,19/05/2021,Invoice,12420,Blaser Group Kft,,Sales of Product Income:Non UK Sales,650,"816,523.98"
,19/05/2021,Invoice,12419,Armurerie Collard,,Sales of Product Income:Non UK Sales,650,"817,173.98"
,19/05/2021,Invoice,12423,Tamas,,Sales of Product Income:UK Sales,570.65,"817,744.63"
,19/05/2021,Payment,,Tamas,,Natwest Saver ****7829,-570.65,"817,173.98"
,19/05/2021,Payment,,Website Sale,,NatWest ****7810,-112.37,"817,061.61"
,19/05/2021,Payment,,Website Sale,,NatWest ****7810,-253.2,"816,808.41"
,19/05/2021,Payment,,Website Sale,,Barter Account,-1.8,"816,806.61"
,19/05/2021,Payment,,Website Sale,,Barter Account,-3.8,"816,802.81"
,19/05/2021,Invoice,12421,Website Sale,,Sales of Product Income:UK Sales,257,"817,059.81"
,20/05/2021,Invoice,12427,Sidney Hiscox,,-Split-,"2,930.40","819,990.21"
,20/05/2021,Invoice,12426,Website Sale,,Sales of Product Income:Non UK Sales,89.17,"820,079.38"
,20/05/2021,Credit Note,12428,Sidney Hiscox,,Sales of Product Income:UK Sales,"-2,766.00","817,313.38"
,20/05/2021,Payment,,Website Sale,,NatWest ****7810,-86.38,"817,227.00"
,20/05/2021,Payment,,Website Sale,,Barter Account,-2.79,"817,224.21"
,20/05/2021,Payment,,The Hon Charles Pearson,,Commerzbank,-946.38,"816,277.83"
,20/05/2021,Payment,,Sidney Hiscox,,-Split-,,"816,277.83"
,21/05/2021,Invoice,12431,Website Sale,,Sales of Product Income:Non UK Sales,240,"816,517.83"
,21/05/2021,Invoice,12432,Website Sale,,Sales of Product Income:UK Sales,61,"816,578.83"
,21/05/2021,Invoice,12433,Armurerie Vouzelaud,,Sales of Product Income:Non UK Sales,"9,550.00","826,128.83"
,21/05/2021,Payment,,Website Sale,,Barter Account,-7.16,"826,121.67"
,21/05/2021,Payment,,Website Sale,,NatWest ****7810,-232.84,"825,888.83"
,21/05/2021,Payment,,Website Sale,,NatWest ****7810,-59.95,"825,828.88"
,21/05/2021,Payment,,Website Sale,,Barter Account,-1.05,"825,827.83"
,21/05/2021,Payment,,Morten Kristoffer Kjus,,Commerzbank,-255,"825,572.83"
,24/05/2021,Payment,,Blaser Group Kft,,Commerzbank,"-7,926.00","817,646.83"
,24/05/2021,Payment,,Website Sale,,Barter Account,-0.93,"817,645.90"
,24/05/2021,Payment,,Website Sale,,Barter Account,-2.36,"817,643.54"
,24/05/2021,Payment,,Website Sale,,NatWest ****7810,-315.32,"817,328.22"
,24/05/2021,Invoice,12434,Website Sale,,Sales of Product Income:Non UK Sales,154.17,"817,482.39"
,24/05/2021,Invoice,12436,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"817,778.22"
,24/05/2021,Invoice,12435,Website Sale,,Sales of Product Income:Non UK Sales,320,"818,098.22"
,24/05/2021,Invoice,12442,Glenn Kendall,,Orders in Hand/Deferred Income,"35,000.00","853,098.22"
